metric_id,metric_code,metric_label,definition,concept_code,vendor_code,is_derived,source_vendor_codes,unit,direction,geo_level_code,frequency_code,is_active,data_status_code,snowflake_column,table_path,metric_category_code,is_opco_metric
CENSUS_MAN_15F35D25C6,census_census_acs5_h3_r8_snapshot_built_2010_plus_share,Census Built 2010 Plus Share,Census Built 2010 Plus Share (built 2010 plus share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,BUILT_2010_PLUS_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_1665B5D071,census_acs_demographics_county_pct_under_18_ppt_change_acs5_10yr,Census Pct Under 18 Ppt Change Acs5 10Yr,Census Pct Under 18 Ppt Change Acs5 10Yr (pct under 18 ppt change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_UNDER_18_PPT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_169EC2FC18,census_acs_demographics_county_pct_single_person_hh,Census Pct Single Person Hh,Census Pct Single Person Hh (pct single person hh).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_SINGLE_PERSON_HH,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_16CB4C9414,census_census_acs5_h3_r8_snapshot_median_hhi_wavg,Census Median Hhi Wavg,Census Median Hhi Wavg (median hhi wavg).,income,census,FALSE,Census,index,neutral,cbsa,monthly,TRUE,under_review,MEDIAN_HHI_WAVG,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_1770E469CE,census_acs_demographics_county_pop_below_poverty,Census Pop Below Poverty,Census Pop Below Poverty (pop below poverty).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,POP_BELOW_POVERTY,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_17CD578D58,census_acs_demographics_county_pct_hh_head_25_44_of_households,Census Pct Hh Head 25 44 Of Households,Census Pct Hh Head 25 44 Of Households (pct hh head 25 44 of households).,population,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_HH_HEAD_25_44_OF_HOUSEHOLDS,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_18208D6BD2,census_acs_demographics_county_hh_head_25_44_pct_change_acs5_5yr,Census Hh Head 25 44 Pct Change Acs5 5Yr,Census Hh Head 25 44 Pct Change Acs5 5Yr (hh head 25 44 pct change acs5 5yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,HH_HEAD_25_44_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_186D654C31,census_acs_demographics_county_family_households_pct_change_acs5_5yr,Census Family Households Pct Change Acs5 5Yr,Census Family Households Pct Change Acs5 5Yr (family households pct change acs5 5yr).,population,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,FAMILY_HOUSEHOLDS_PCT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_18B592E4B0,census_acs_demographics_county_pop_under_5_abs_change_acs5_10yr,Census Pop Under 5 Abs Change Acs5 10Yr,Census Pop Under 5 Abs Change Acs5 10Yr (pop under 5 abs change acs5 10yr).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,POP_UNDER_5_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_194B17AACF,census_census_acs5_h3_r8_snapshot_transit_share,Census Transit Share,Census Transit Share (transit share).,pipeline,census,FALSE,Census,pct,neutral,cbsa,monthly,TRUE,under_review,TRANSIT_SHARE,TRANSFORM.DEV.FACT_CENSUS_ACS5_H3_R8_SNAPSHOT,coincident,FALSE
CENSUS_MAN_19BBC5EF70,census_acs_demographics_county_pop_under_5_pct_change_acs5_10yr,Census Pop Under 5 Pct Change Acs5 10Yr,Census Pop Under 5 Pct Change Acs5 10Yr (pop under 5 pct change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,POP_UNDER_5_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_19F649D5F6,census_acs_demographics_county_total_population_abs_change_acs5_10yr,Census Total Population Abs Change Acs5 10Yr,Census Total Population Abs Change Acs5 10Yr (total population abs change acs5 10yr).,population,census,FALSE,Census,count,neutral,county,monthly,TRUE,under_review,TOTAL_POPULATION_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1A0C76AC14,census_acs_demographics_county_pct_18_34_ppt_change_acs5_5yr,Census Pct 18 34 Ppt Change Acs5 5Yr,Census Pct 18 34 Ppt Change Acs5 5Yr (pct 18 34 ppt change acs5 5yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_18_34_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1A0FB1533E,census_acs_demographics_county_pct_hh_head_25_44_of_households_ppt_change_acs5_5yr,Census Pct Hh Head 25 44 Of Households Ppt Change Acs5 5Yr,Census Pct Hh Head 25 44 Of Households Ppt Change Acs5 5Yr (pct hh head 25 44 of households ppt change acs5 5yr).,population,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,PCT_HH_HEAD_25_44_OF_HOUSEHOLDS_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1ABB79C9EF,census_acs_demographics_county_poverty_total_pct_change_acs5_10yr,Census Poverty Total Pct Change Acs5 10Yr,Census Poverty Total Pct Change Acs5 10Yr (poverty total pct change acs5 10yr).,pipeline,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,POVERTY_TOTAL_PCT_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1AF6FD5390,census_acs_demographics_county_pop_under_18_abs_change_acs5_10yr,Census Pop Under 18 Abs Change Acs5 10Yr,Census Pop Under 18 Abs Change Acs5 10Yr (pop under 18 abs change acs5 10yr).,pipeline,census,FALSE,Census,varies,neutral,county,monthly,TRUE,under_review,POP_UNDER_18_ABS_CHANGE_ACS5_10YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1BBC7149D6,census_acs_demographics_county_rent_burden_50_plus_share,Census Rent Burden 50 Plus Share,Census Rent Burden 50 Plus Share (rent burden 50 plus share).,rent,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,RENT_BURDEN_50_PLUS_SHARE,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
CENSUS_MAN_1DDAA58D47,census_acs_demographics_county_rent_burden_30_plus_share_ppt_change_acs5_5yr,Census Rent Burden 30 Plus Share Ppt Change Acs5 5Yr,Census Rent Burden 30 Plus Share Ppt Change Acs5 5Yr (rent burden 30 plus share ppt change acs5 5yr).,rent,census,FALSE,Census,pct,neutral,county,monthly,TRUE,under_review,RENT_BURDEN_30_PLUS_SHARE_PPT_CHANGE_ACS5_5YR,TRANSFORM.DEV.FACT_ACS_DEMOGRAPHICS_COUNTY,coincident,FALSE
