bridge_product_type_metric_id,product_type_code,metric_code,is_required,sort_order,is_active
581,mf_garden,zillow_home_values_observe,0,62,0
626,mf_garden,zillow_sales_observe,0,63,0
509,mf_garden,fhfa_house_price_observe,0,64,0
518,mf_garden,fhfa_uniform_appraisal_observe,0,65,0
473,mf_garden,cherre_recorder_sale_transactions_county_planned,0,66,0
536,mf_garden,oxford_amreg_quarterly_observe,0,67,0
545,mf_garden,oxford_wdmarco_quarterly_observe,0,68,0
572,mf_garden,zillow_affordability_observe,0,69,0
455,mf_garden,cybersyn_acs5_median_household_income_county_planned,0,70,0
482,mf_garden,census_pep_cbsa_annual_observe,0,71,0
491,mf_garden,census_pep_county_annual_observe,0,72,0
43,mf_highrise,zillow_rentals_metric_value,0,1,1
94,mf_highrise,markerr_rent_property_cbsa_avg_rent_effective,0,2,1
95,mf_highrise,markerr_rent_property_cbsa_avg_rent_asking,0,3,1
96,mf_highrise,yardi_matrix_marketperformance_bh_datavalue,0,4,1
97,mf_highrise,costar_scenarios_market_effective_rent_per_unit,0,5,1
98,mf_highrise,costar_scenarios_market_asking_rent_per_unit,0,6,1
34,mf_highrise,cybersyn_hud_timeseries_value,0,7,1
25,mf_highrise,cybersyn_hud_timeseries_value_cbsa,1,8,1
52,mf_highrise,zillow_days_on_market_and_price_cuts_metric_value,0,9,1
61,mf_highrise,zillow_for_sale_listings_metric_value,0,10,1
376,mf_highrise,bps_permits_measure_value,0,11,1
7,mf_highrise,cybersyn_fhfa_house_price_timeseries_value,1,12,1
16,mf_highrise,cybersyn_fhfa_house_price_timeseries_value_cbsa,1,13,1
322,mf_highrise,cybersyn_fhfa_uniform_appraisal_value_county,0,14,1
331,mf_highrise,cybersyn_fhfa_uniform_appraisal_value_cbsa,0,15,1
385,mf_highrise,bls_laus_unemployment_rate_county,0,16,1
394,mf_highrise,bls_laus_unemployed_persons_county,0,17,1
196,mf_highrise,bls_laus_employment_persons_county,0,18,1
205,mf_highrise,bls_laus_labor_force_persons_county,0,19,1
214,mf_highrise,lehd_lodes_od_bg_jobs_total,0,20,1
223,mf_highrise,bls_qcew_county_naics_employment,0,21,1
232,mf_highrise,bls_qcew_county_naics_total_wages,0,22,1
241,mf_highrise,bls_qcew_county_naics_establishments,0,23,1
259,mf_highrise,bls_qcew_county_naics_avg_weekly_wage,0,24,1
250,mf_highrise,bls_qcew_allocated_county_soc_estimated_employment,0,25,1
340,mf_highrise,cybersyn_irs_migration_by_characteristic_value,0,26,1
349,mf_highrise,cybersyn_irs_od_migration_value,0,27,1
358,mf_highrise,cybersyn_irs_migration_by_characteristic_value_cbsa,0,28,1
367,mf_highrise,cybersyn_irs_od_migration_value_cbsa,0,29,1
178,mf_highrise,cybersyn_fhfa_mortgage_performance_value_county,0,30,1
187,mf_highrise,cybersyn_fhfa_mortgage_performance_value_cbsa,0,31,1
403,mf_highrise,pretium_epoch_gwa_crosswalk_exposure_weight,0,32,1
412,mf_highrise,dol_onet_soc_gwa_activity_risk_score,0,33,1
421,mf_highrise,dol_onet_soc_work_context_friction_index,0,34,1
430,mf_highrise,dol_onet_soc_ai_friction_adjusted_exposure,0,35,1
439,mf_highrise,county_ai_replacement_risk_combined_score,0,36,1
169,mf_highrise,freddie_mac_housing_timeseries_value,0,37,1
268,mf_highrise,progress_fund_spine_property_number,0,38,1
277,mf_highrise,progress_fund_spine_cap_rate,0,39,1
286,mf_highrise,progress_fund_spine_gross_yield,0,40,1
295,mf_highrise,progress_fund_spine_home_condition_score,0,41,1
304,mf_highrise,progress_fund_spine_yardi_tier,0,42,1
313,mf_highrise,progress_fund_spine_yardi_property_status,0,43,1
115,mf_highrise,progress_acquisition_uw_acquisition_purchase_price,0,44,1
124,mf_highrise,progress_acquisition_uw_acquisition_cap_rate,0,45,1
133,mf_highrise,progress_acquisition_uw_acquisition_net_yield,0,46,1
142,mf_highrise,progress_acquisition_uw_fdd_purchase_price,0,47,1
151,mf_highrise,progress_acquisition_uw_fdd_closing_date,0,48,1
160,mf_highrise,progress_acquisition_uw_fdd_stabilized,0,49,1
619,mf_highrise,zillow_rental_forecasts_observe,0,50,0
637,mf_highrise,markerr_rent_listings_county_cnt_multi_family,0,51,0
529,mf_highrise,markerr_rent_sfr_observe,0,52,0
502,mf_highrise,costar_mf_market_cbsa_monthly_observe,0,53,0
448,mf_highrise,rent_median_psf_zip_monthly_planned,0,54,0
565,mf_highrise,yardi_matrix_submarketmatch_zipzcta_bh_observe,0,55,0
646,mf_highrise,cherre_vacant_h3_r8_mf_vacant_parcels,0,56,0
601,mf_highrise,zillow_market_heat_index_observe,0,57,0
556,mf_highrise,realtor_inventory_cbsa_observe,0,58,0
610,mf_highrise,zillow_new_construction_observe,0,59,0
466,mf_highrise,supply_pipeline_under_construction_units_county_planned,0,60,0
592,mf_highrise,zillow_home_values_forecasts_observe,0,61,0
583,mf_highrise,zillow_home_values_observe,0,62,0
628,mf_highrise,zillow_sales_observe,0,63,0
511,mf_highrise,fhfa_house_price_observe,0,64,0
520,mf_highrise,fhfa_uniform_appraisal_observe,0,65,0
475,mf_highrise,cherre_recorder_sale_transactions_county_planned,0,66,0
538,mf_highrise,oxford_amreg_quarterly_observe,0,67,0
547,mf_highrise,oxford_wdmarco_quarterly_observe,0,68,0
574,mf_highrise,zillow_affordability_observe,0,69,0
457,mf_highrise,cybersyn_acs5_median_household_income_county_planned,0,70,0
484,mf_highrise,census_pep_cbsa_annual_observe,0,71,0
493,mf_highrise,census_pep_county_annual_observe,0,72,0
42,mf_midrise,zillow_rentals_metric_value,0,1,1
89,mf_midrise,markerr_rent_property_cbsa_avg_rent_effective,0,2,1
90,mf_midrise,markerr_rent_property_cbsa_avg_rent_asking,0,3,1
91,mf_midrise,yardi_matrix_marketperformance_bh_datavalue,0,4,1
92,mf_midrise,costar_scenarios_market_effective_rent_per_unit,0,5,1
93,mf_midrise,costar_scenarios_market_asking_rent_per_unit,0,6,1
33,mf_midrise,cybersyn_hud_timeseries_value,0,7,1
24,mf_midrise,cybersyn_hud_timeseries_value_cbsa,1,8,1
51,mf_midrise,zillow_days_on_market_and_price_cuts_metric_value,0,9,1
60,mf_midrise,zillow_for_sale_listings_metric_value,0,10,1
375,mf_midrise,bps_permits_measure_value,0,11,1
6,mf_midrise,cybersyn_fhfa_house_price_timeseries_value,1,12,1
15,mf_midrise,cybersyn_fhfa_house_price_timeseries_value_cbsa,1,13,1
321,mf_midrise,cybersyn_fhfa_uniform_appraisal_value_county,0,14,1
330,mf_midrise,cybersyn_fhfa_uniform_appraisal_value_cbsa,0,15,1
384,mf_midrise,bls_laus_unemployment_rate_county,0,16,1
393,mf_midrise,bls_laus_unemployed_persons_county,0,17,1
195,mf_midrise,bls_laus_employment_persons_county,0,18,1
204,mf_midrise,bls_laus_labor_force_persons_county,0,19,1
213,mf_midrise,lehd_lodes_od_bg_jobs_total,0,20,1
222,mf_midrise,bls_qcew_county_naics_employment,0,21,1
231,mf_midrise,bls_qcew_county_naics_total_wages,0,22,1
240,mf_midrise,bls_qcew_county_naics_establishments,0,23,1
258,mf_midrise,bls_qcew_county_naics_avg_weekly_wage,0,24,1
249,mf_midrise,bls_qcew_allocated_county_soc_estimated_employment,0,25,1
339,mf_midrise,cybersyn_irs_migration_by_characteristic_value,0,26,1
348,mf_midrise,cybersyn_irs_od_migration_value,0,27,1
357,mf_midrise,cybersyn_irs_migration_by_characteristic_value_cbsa,0,28,1
366,mf_midrise,cybersyn_irs_od_migration_value_cbsa,0,29,1
177,mf_midrise,cybersyn_fhfa_mortgage_performance_value_county,0,30,1
186,mf_midrise,cybersyn_fhfa_mortgage_performance_value_cbsa,0,31,1
402,mf_midrise,pretium_epoch_gwa_crosswalk_exposure_weight,0,32,1
411,mf_midrise,dol_onet_soc_gwa_activity_risk_score,0,33,1
420,mf_midrise,dol_onet_soc_work_context_friction_index,0,34,1
429,mf_midrise,dol_onet_soc_ai_friction_adjusted_exposure,0,35,1
438,mf_midrise,county_ai_replacement_risk_combined_score,0,36,1
168,mf_midrise,freddie_mac_housing_timeseries_value,0,37,1
267,mf_midrise,progress_fund_spine_property_number,0,38,1
276,mf_midrise,progress_fund_spine_cap_rate,0,39,1
285,mf_midrise,progress_fund_spine_gross_yield,0,40,1
294,mf_midrise,progress_fund_spine_home_condition_score,0,41,1
303,mf_midrise,progress_fund_spine_yardi_tier,0,42,1
